t_idx,range_A0,range_A1,range_A2,range_A3,range_A4,range_A5,range_A6,range_A7,gt_A0,gt_A1,gt_A2,gt_A3,gt_A4,gt_A5,gt_A6,gt_A7,class_A0,class_A1,class_A2,class_A3,class_A4,class_A5,class_A6,class_A7,second,msg_idx,t_sec
12,5625.969900980035,12844.071875888329,25154.180880225977,1893.6687809060734,11671.531481536515,20703.187455680698,7513.247221471112,21816.840422749123,5665.650889350667,12873.989280716372,25142.18765342428,1920.8331525668752,11682.876358157695,20664.210606747114,7523.935140602955,21794.714955695108,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,12000.0,600.0
13,5644.918403731678,12840.708087688126,25084.28691759207,1885.112627659588,11678.195985727782,20582.42619373001,7542.448357283315,21773.438599036584,5672.926934131974,12846.871214424156,25112.78757923939,1895.2836199366043,11652.986741604058,20634.24580642578,7529.41564797694,21766.306530966616,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,13000.0,650.0
14,5662.527603091803,12776.384252872193,25085.55281097269,1853.9815241093024,11630.077980157037,20604.936672912052,7583.064979205796,21730.72171388054,5680.352101762707,12819.765988503847,25083.38892574127,1869.8663053812163,11623.097693816395,20604.28110854635,7535.011612466168,21737.902382704728,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,14000.0,700.0
15,5657.220883457594,12798.051953622997,25060.591598450243,1885.3623018268847,11618.262556571231,20585.02264533089,7584.621863765325,21673.839636065415,5687.92580823625,12792.673684574307,25053.991697931087,1844.5866745696715,11593.209219193795,20574.316513556412,7540.722777028738,21709.502527695102,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,15000.0,750.0
16,5676.454915017881,12737.797106666043,25012.90160673857,1778.1498820603765,11582.375850585184,20537.685340993205,7502.424691282242,21650.63961037256,5695.647461000373,12765.594384908209,25024.595900833243,1819.4504664870647,11563.321322180751,20544.35202190617,7546.5488801173215,21681.10698280879,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,16000.0,800.0
17,5712.92187459148,12763.671969474964,25055.10346624629,1881.8795821671538,11545.86629026602,20484.7014904475,7488.528267314108,21660.747108873096,5703.516459167975,12738.528172438133,24995.201539495534,1794.4637081869337,11533.43400726774,20514.38763404845,7552.489655736047,21652.71576500278,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,17000.0,850.0
18,5687.143960869445,12699.014412957364,24947.445715017497,1765.4090036654,11535.526685915444,20489.134807462106,7553.785788386885,21593.25927873576,5711.5321937287545,12711.475130762756,24965.808618989293,1769.6327302578916,11503.547278991815,20484.42335043874,7558.5448334980465,21624.32889132053,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,18000.0,900.0
19,5669.453559420515,12669.846106880887,24934.80366788495,1798.0020804209048,11477.569377581402,20483.941356865882,7549.735270727455,21560.39806589999,5719.694047761645,12684.435344153084,24936.4171444095,1744.9641830135083,11473.661141937215,20454.45917153519,7564.714138683629,21595.9463788925,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,0.0,19000.0,950.0
20,5699.047893780904,12635.652115622699,24970.881212848,1695.8234530317934,11468.930276848065,20397.407282456013,7598.944482685307,21579.11677391983,5728.001396647875,12657.408897558775,24907.027120874944,1720.4650534085254,11443.775600735971,20424.495097798623,7570.99729229908,21567.568244936647,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,0.0,1000.0
21,5731.754471354734,12629.173000830417,24857.994922665468,1709.5248487218366,11400.241155658325,20357.76295677957,7539.055883906431,21544.37214429073,5736.453608284477,12630.39587661448,24877.638553528348,1696.1426826773743,11413.890660068548,20394.531129692587,7577.394011136019,21539.194506759068,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,1000.0,1050.0
22,5792.422780990457,12608.196116053505,24844.69229775321,1680.5795688702253,11423.186376915644,20371.14874272426,7571.57619090631,21544.013843056215,5745.0500432981435,12603.396367646299,24848.251447536506,1672.0047846821492,11384.00632466444,20364.56726768335,7583.904007831324,21510.825181754415,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,2000.0,1100.0
23,5766.652748413077,12622.483137438176,24824.362841207083,1611.3253939949625,11313.077823325491,20384.131350206855,7642.236962551072,21477.07471100808,5753.790055259229,12576.410457678296,24818.865808090424,1648.0594649465777,11354.122599302864,20334.60351223992,7590.526990927573,21482.46028740656,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,3000.0,1150.0
24,5751.177371261726,12593.28156320629,24756.27026994417,1597.4734297710818,11343.539292654037,20292.801710148295,7597.109008932393,21449.196554333343,5762.672990895805,12549.438234439023,24789.48164040548,1624.3152403397564,11324.23948881337,20304.63986383408,7597.262664933995,21454.09984128908,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,4000.0,1200.0
25,5781.8254267715665,12564.704242207607,24762.81649692856,1620.099223156518,11232.851835045589,20273.214770882492,7578.813822279088,21389.17946925312,5771.6981903075975,12522.479786368194,24760.0989497215,1600.781059358212,11294.356998076519,20274.676322940402,7604.110730387874,21425.74386106583,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,5000.0,1250.0
26,5754.520416171825,12485.51149940235,24758.1948175737,1537.6745414046927,11265.394076802404,20230.187807036244,7601.240691085543,21427.475099250656,5780.864987179687,12495.535202623374,24730.717741303022,1577.4663229368796,11264.475132024572,20244.71289003625,7611.070883916402,21397.39236449152,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,6000.0,1300.0
27,5806.316172105938,12508.726516310038,24696.7028500618,1533.5026273483502,11227.87813113574,20222.02446933998,7623.44001905257,21336.51372724527,5790.17270899582,12468.604573086755,24701.338020439292,1554.3809056984715,11234.593895642156,20214.74956560185,7618.142818298959,21369.04536941228,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,7000.0,1350.0
28,5802.335370700064,12448.534838276164,24747.48401357056,1587.8405158645821,11179.1159934502,20176.164849273762,7581.422962474651,21322.98168334727,5799.620677251229,12441.687988371996,24671.95979244454,1531.5351775261322,11204.713293966965,20184.78635012023,7625.326222529761,21340.70289376617,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,8000.0,1400.0
29,5818.676357772504,12450.961148457773,24620.710547525712,1489.3156321137503,11110.4146611983,20149.94326646099,7600.748349525101,21296.481772762898,5809.208207664794,12414.785539831124,24642.58306265802,1508.9400253157844,11174.83333209046,20154.82324407733,7632.620781880887,21312.364955583882,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,9000.0,1450.0
30,5792.628787045434,12385.069442933966,24560.475984703542,1442.595517370121,11208.831428519457,20086.23757052376,7607.122610611984,21339.13897883881,5818.934610390462,12387.89731956154,24613.20783644424,1486.6068747318507,11144.954015158608,20124.860247961973,7640.026177965623,21284.03157298917,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,10000.0,1500.0
31,5915.951205304989,12325.876421548292,24572.7866504894,1474.7943782808916,11166.936277704757,20065.29164991303,7640.183753423864,21279.0228914814,5828.799190227777,12361.023420413052,24583.83411919304,1464.5477117526764,11115.07534837259,20094.897362265878,7647.542088802127,21255.70276419954,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,11000.0,1550.0
32,5851.8442290654075,12322.87925385811,24550.447227384328,1401.528229498615,11078.052124670301,20056.942962783443,7662.133285566156,21210.718730962206,5838.801246831408,12334.163935995011,24554.46191631981,1442.7751037497148,11085.197336989539,20064.93458748371,7655.168188877367,21227.378547526776,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,12000.0,1600.0
33,5863.086230595912,12337.700435218112,24529.754113095627,1431.8549120490186,11056.914646750665,20034.974455905838,7641.257408205031,21208.55376922776,5848.940074919558,12307.318960683515,24525.091233265575,1421.3022197970422,11055.319986323326,20034.97192411309,7662.9041492113165,21199.058941377563,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,13000.0,1650.0
34,5856.296366528758,12343.28363889659,24542.92272257144,1411.718246431666,11002.551585454445,19971.63702849513,7706.483926014032,21178.626441008484,5859.214964481163,12280.48858962867,24495.722075497182,1400.1428498549712,11025.443301745288,20005.00937265464,7670.749637421365,21170.743964254067,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,14000.0,1700.0
35,5884.029503083494,12201.335339152722,24494.177602954187,1392.944032559803,10962.254368152584,19960.90118938845,7686.615833917649,21144.00763870522,5869.625200981746,12253.672918761948,24466.354448507438,1379.3114224133722,10995.567288685019,19975.046933611942,7678.704317786954,21142.43363475454,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,15000.0,1750.0
36,5871.404929993725,12223.76739676163,24429.429036469086,1363.3998954801164,11009.836711820964,19868.084854263707,7679.662343379071,21119.42334421509,5880.170065567831,12226.87204480361,24436.98835781529,1358.823020117042,10965.69195263117,19945.084607491644,7686.767851314362,21114.127971573915,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,16000.0,1800.0
37,5899.72865496045,12188.928627830557,24354.92215549156,1348.5332573389223,10987.63780555717,19869.10655265592,7720.854736212602,21075.971236810743,5890.848835269838,12200.086065270196,24407.62380896592,1338.693392827499,10935.817299132244,19915.122394803402,7694.939895801656,21085.82699350443,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,17000.0,1850.0
38,5899.821052828452,12141.728123160996,24368.22712236028,1357.940305344773,10923.422991057032,19937.129644222274,7738.542462573095,21070.703319804106,5901.660783203318,12173.315078482114,24378.26080753096,1318.938967503804,10905.943333797399,19885.160296059974,7703.220105903765,21057.530719436218,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,18000.0,1900.0
39,5964.923214553527,12159.72897833344,24373.739004412528,1290.6797256045902,10878.066436773097,19834.275597078184,7741.295651235487,20993.8900596645,5912.605178768493,12146.55918357129,24348.89935910861,1299.5768542106312,10876.070062297318,19855.1983117772,7711.608133197641,21029.239168357948,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,1000.0,19000.0,1950.0
40,5947.151798120484,12114.098948763734,24354.676882127857,1303.1509171485075,10900.816875094404,19847.15968320818,7672.942418577916,20998.94376417048,5923.681287847955,12119.81848048889,24319.539469323838,1280.6248474865695,10846.197490365,19825.236442474026,7720.103626247514,21000.95235935742,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,0.0,2000.0
41,5899.728157224634,12077.544674742161,24335.517996826766,1281.227436558916,10795.357710939288,19764.863167679334,7729.689693456465,20936.173507140782,5934.888373002479,12093.093070013148,24290.181143828464,1262.101422231985,10816.32562379665,19795.274688672547,7728.706230670176,20972.670311622216,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,1000.0,2050.0
42,5926.09148534295,12075.743337903781,24295.483749384603,1262.2885673734522,10717.715783194608,19774.444052768944,7739.576596397287,20956.8097530015,5946.225693664847,12066.383053757245,24260.8243883014,1244.025723206719,10786.45446845255,19765.31305089804,7737.415589200311,20944.393044440323,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,2000.0,2100.0
43,6006.1787967811615,11977.791385873144,24213.73610569302,1244.1447368511592,10709.136198274315,19779.630001120524,7757.282040136829,20941.51809677604,5957.692506331625,12039.688534177287,24231.46920844876,1226.4175471673584,10756.584030257936,19735.35152967892,7746.231341755809,20916.120577200738,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,3000.0,2150.0
44,5952.1597549071275,12037.42252527934,24234.169756683685,1216.2836572305928,10733.746341984848,19713.500422725323,7729.252767560886,20883.427068986945,5969.288064752782,12013.00961458035,24202.11561000401,1209.2973166264778,10726.714315203888,19705.390125546866,7755.153125503069,20887.85292939416,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,4000.0,2200.0
45,5976.435944145555,11997.848215063248,24202.75832613553,1160.9299617283043,10693.095058438688,19719.87250546654,7741.872928057874,20834.92262009488,5981.011620119126,11986.34639913264,24172.763598728216,1192.6860441876565,10696.845329348276,19675.428839036773,7764.18057492225,20859.590120613586,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,5000.0,2250.0
46,5998.931607002399,11985.030548582232,24143.75596207692,1216.474104119728,10692.680898293656,19670.722272693496,7789.936816912192,20901.16176356539,5992.862421247462,11959.698992867672,24143.413180410098,1176.6052864066182,10666.977078816659,19645.467670686794,7773.313321872469,20831.332170555008,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,6000.0,2300.0
47,5998.684864097436,11872.961832932613,24162.19199171177,1147.3461032287992,10640.345983133546,19654.79314158418,7734.48320942512,20765.529682594828,6004.839714763418,11933.067501694608,24114.06436086625,1161.077086157504,10637.109569803255,19615.506621038367,7782.550995656888,20803.07909901801,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,7000.0,2350.0
48,5968.904407168293,11882.62794370587,24097.90624412184,1161.8495378359357,10615.531033951744,19543.16271411948,7722.5901199887185,20776.461533468184,6016.942745281859,11906.452032406632,24084.71714594133,1146.1239025515524,10607.242808571886,19585.54569063625,7791.893223087698,20774.830925906474,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,8000.0,2400.0
49,6015.017474575733,11893.634265840916,24076.430150294786,1135.9157705326593,10600.180794018244,19562.461221251968,7817.241569719027,20725.44747334312,6029.170755584883,11879.85269268942,24055.371541508146,1131.7685275708989,10577.376801456967,19555.58488002852,7801.339628550984,20746.587671229212,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,9000.0,2450.0
50,6036.134644382343,11859.172874029406,24050.643407730448,1106.2217535831578,10563.146572536456,19517.64902600917,7807.36356905156,20743.234926361383,6041.522986797286,11853.269591129696,24026.027553467928,1118.033988749895,10547.511554864494,19525.624189766633,7810.889834071404,20718.34935510066,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,10000.0,2500.0
51,5994.206867427862,11787.808667381665,23952.21962582712,1034.9349538709218,10497.299142068403,19518.146637397265,7811.996937385243,20696.049700199783,6053.998678559486,11826.702837223904,23996.68518775041,1104.9434374663708,10517.64707527306,19495.66362040544,7820.5434593767195,20690.11599774153,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,11000.0,2550.0
52,6099.273594099179,11839.983125354944,23965.270312272267,1133.1275993868949,10490.547168987916,19440.58122578834,7812.468111396159,20617.471524102544,6066.5970691978555,11800.152541386913,23967.344450314053,1092.520022699813,10487.783369234892,19465.70317250317,7830.300121962121,20661.887619479494,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,12000.0,2600.0
53,6052.673380280395,11762.87831431861,23962.112897727562,1132.4098454089108,10416.454997915564,19447.527670669326,7808.943118979598,20647.905153403768,6079.3173958924035,11773.618814960844,23938.005347146198,1080.7867504739318,10457.920443376875,19435.742846621528,7840.159437154324,20633.66424074988,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,13000.0,2650.0
54,6088.226295321163,11692.174595448581,23936.51679401028,1051.6163082410444,10412.041297250431,19373.69007098698,7830.492519874826,20618.282595317163,6092.158894841795,11747.101770224006,23908.66788426323,1069.7663296253063,10428.058304401638,19405.78264332567,7850.121018175453,20605.44588209632,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,14000.0,2700.0
55,6099.443471197544,11730.461380468356,23890.18972332864,1099.1008546866997,10387.913374562697,19331.516828678883,7892.201148703809,20567.287919008584,6105.120801425636,11720.601520399881,23879.332067710773,1059.4810050208544,10398.196959088627,19375.82256318425,7860.184476206649,20577.232564171503,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,15000.0,2750.0
56,6151.640123701356,11705.619493061697,23846.06377765775,1060.4156566939241,10426.866791098997,19408.17202264105,7872.430854505404,20553.830025537336,6118.202350364035,11694.118179666219,23849.99790356385,1049.9523798725352,10368.336414295207,19345.86260676944,7870.34942045142,20549.024307737825,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,16000.0,2800.0
57,6163.689980598368,11642.28203218122,23830.65750910562,1040.4253439114075,10347.893923301508,19290.901710478465,7832.928433399411,20458.63163058837,6131.402775874376,11667.651863164241,23820.66539792707,1041.2012293500236,10338.47667695778,19315.902774656948,7880.615458198679,20520.821133668116,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,17000.0,2850.0
58,6111.19978843561,11627.442428459724,23782.53880933533,1091.3642431200449,10341.79755519015,19257.080333935824,7901.41344845903,20480.41071585582,6144.721311825298,11641.202687007904,23791.3345569348,1033.2473082471593,10308.617754092931,19285.943067426077,7890.9821948855015,20492.62306294633,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,18000.0,2900.0
59,6149.626276746643,11620.330537775737,23780.58052026061,1015.9314014703074,10310.675198780611,19221.72533887545,7901.639406030384,20542.360328466162,6158.157191887846,11614.770768293276,23762.00538675135,1026.1091559868278,10278.75965279858,19255.983485659723,7901.449234159516,20464.43011666829,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,2000.0,19000.0,2950.0
60,6178.402041962548,11631.352660306216,23735.423498916334,1037.227215578451,10247.198884423384,19220.911802509487,7888.631706039231,20449.151356811075,6171.709649683789,11588.35622510803,23732.677893571137,1019.8039027185571,10248.902380255164,19226.02402994441,7912.016177940993,20436.24231604235,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,0.0,3000.0
61,6159.831803255492,11581.926733630375,23735.91069375227,1025.343022855692,10210.458481720168,19209.6836682496,7913.42243481815,20436.12609615415,6185.377918931065,11561.959176540971,23703.352083618887,1014.347080638575,10219.04594372684,19196.06470087033,7922.682626484542,20408.05968239019,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,1000.0,3050.0
62,6144.219051059908,11525.51152164818,23614.303603296106,964.9006200023308,10230.106217457116,19192.961048490502,7911.8637714419,20334.807133466267,6199.161233586363,11535.57974269174,23674.02796314983,1009.752444909147,10189.190350562701,19166.10549903136,7933.448178440444,20379.882237147493,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,2000.0,3100.0
63,6124.122962849562,11492.913179442556,23717.31798881725,1019.0783367861611,10142.548439616523,19150.09883131009,7897.4836803257585,20342.790300983776,6213.058827984812,11509.218044680534,23644.705538449827,1006.0318086422515,10159.335608198007,19136.146425025076,7944.312430915592,20351.710001864703,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,3000.0,3150.0
64,6230.054261167253,11480.291185103364,23639.10899948633,1013.5342531058378,10149.531504698723,19085.536310985906,7982.209441786335,20372.41110663649,6227.06993697678,11482.874204657996,23615.38481583563,1003.1948963187563,10129.481724155487,19106.187479452827,7955.2749795340205,20323.542998207766,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,4000.0,3200.0
65,6212.089310472234,11429.917476143719,23626.13933174461,995.5089001241876,10141.743347808571,19062.95259156296,8009.986785785136,20299.325822463023,6241.193796061775,11456.548345815156,23586.06580165501,1001.2492197250391,10099.628706046577,19076.228662919726,7966.335418497015,20295.381247958852,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,5000.0,3250.0
66,6263.176506219119,11477.18213304359,23545.895387963657,971.96631712625,10056.319635331905,19059.839994553968,7930.520568477372,20286.34890009668,6255.429641519438,11430.240592393495,23556.748502286984,1000.1999800039989,10069.776561572753,19046.26997603468,7977.493340642787,20267.224773017148,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,6000.0,3300.0
67,6253.613571009092,11438.385449517107,23455.605114994967,976.4530254969374,9989.33125398985,18991.52453541953,7996.178314538964,20233.696796636083,6269.776710537624,11403.9510696951,23527.43292414198,1000.0499987500624,10039.925298526876,19016.31141941045,7988.7483375056945,20239.07359539957,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,7000.0,3350.0
68,6276.632914269163,11372.904357951524,23504.22072088065,970.5435989974512,10031.280414021492,19006.2329727752,8011.651137504691,20227.62374052409,6284.234241337603,11377.679904092925,23498.11907366205,1000.7996802557444,10010.074924794519,18986.35299366364,8000.099999375008,20210.927737241556,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,8000.0,3400.0
69,6307.694013320588,11412.479422123091,23466.194132189452,993.2345095305835,9957.61962094464,18925.426819297423,7974.213761725155,20156.123301400898,6298.8014732963275,11351.427223041163,23468.806957321027,1002.4470060806208,9980.225448355364,18956.39469941476,8011.547915353187,20182.787220797825,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,9000.0,3450.0
70,6311.357235616277,11335.222008940631,23441.030843381348,982.0215037891976,9977.3824142052,18948.618917457286,8018.302224191025,20135.06458410321,6313.477647065839,11325.193155085699,23439.496581624782,1004.987562112089,9950.376877284602,18926.436537288257,8023.0916734136845,20154.65206844316,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,10000.0,3500.0
71,6344.71484231465,11304.617037499283,23366.744135328907,1006.3751895968065,9928.390294116592,18869.48766431789,8040.426162243362,20082.877628115424,6328.2620046897555,11298.977829874699,23410.187953111363,1008.4145972763383,9920.52921975436,18896.478507912525,8034.7308604582395,20126.52230267316,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,11000.0,3550.0
72,6383.239372717276,11310.21987772106,23373.30555832209,1023.6227422289452,9818.384825061168,18831.830182111982,8037.6516947691,20066.23395546225,6343.153789716911,11272.781378169275,23380.881078351176,1012.7191120937731,9890.682484035164,18866.520611919947,8046.465062373663,20098.39794610506,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,12000.0,3600.0
73,6379.584141791027,11306.522827776715,23316.2775223644,992.7660722852876,9867.900129546715,18884.8963344019,8021.622634711908,20077.750105147712,6358.152247312108,11246.603931854273,23351.575963947278,1017.8899744078432,9860.83667849742,18836.562849946913,8058.293864088105,20070.279021478505,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,13000.0,3650.0
74,6427.895589888424,11170.89284950379,23283.84054033009,1011.2058606997912,9815.374159227244,18830.983261266494,8077.466641221405,19988.916689867074,6373.25662436403,11220.445623949168,23322.272616535465,1023.9140588936165,9830.991811612908,18806.605222633883,8070.21684962678,20042.16555165634,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,14000.0,3700.0
75,6403.928481677343,11176.980421998383,23331.204459292796,1011.9487803113076,9782.049433463262,18792.881678949532,8105.121396637271,20027.500540543522,6388.466169590319,11194.306588619056,23292.97104278456,1030.7764064044152,9801.147891956329,18776.6477306254,8082.233602167163,20014.057559625435,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,3000.0,15000.0,3750.0
